ID	GROUP	SAMPLING_TIME	INCLUDE
tsk_0	focal	0	1
tsk_1	focal	0	1
tsk_2	focal	0	1
tsk_3	focal	0	1
tsk_4	focal	0	1
tsk_5	focal	0	1
tsk_6	focal	0	1
tsk_7	focal	0	1
tsk_8	focal	0	1
tsk_9	focal	0	1
tsk_10	B	0	1
tsk_11	B	0	1
tsk_12	B	0	1
tsk_13	B	0	1
tsk_14	B	0	1
tsk_15	B	0	1
tsk_16	B	0	1
tsk_17	B	0	1
tsk_18	B	0	1
tsk_19	B	0	1
tsk_20	B	0	1
tsk_21	B	0	1
tsk_22	B	0	1
tsk_23	B	0	1
tsk_24	B	0	1
tsk_25	B	0	1
tsk_26	B	0	1
tsk_27	B	0	1
tsk_28	B	0	1
tsk_29	B	0	1
tsk_30	B	0	1
tsk_31	B	0	1
tsk_32	B	0	1
tsk_33	B	0	1
tsk_34	B	0	1
tsk_35	B	0	1
tsk_36	B	0	1
tsk_37	B	0	1
tsk_38	B	0	1
tsk_39	B	0	1
tsk_40	B	0	1
tsk_41	B	0	1
tsk_42	B	0	1
tsk_43	B	0	1
tsk_44	B	0	1
tsk_45	B	0	1
tsk_46	B	0	1
tsk_47	B	0	1
tsk_48	B	0	1
tsk_49	B	0	1
tsk_50	B	0	1
tsk_51	B	0	1
tsk_52	B	0	1
tsk_53	B	0	1
tsk_54	B	0	1
tsk_55	B	0	1
tsk_56	B	0	1
tsk_57	B	0	1
tsk_58	B	0	1
tsk_59	B	0	1
tsk_60	B	0	1
tsk_61	B	0	1
tsk_62	B	0	1
tsk_63	B	0	1
tsk_64	B	0	1
tsk_65	B	0	1
tsk_66	B	0	1
tsk_67	B	0	1
tsk_68	B	0	1
tsk_69	B	0	1
tsk_70	B	0	1
tsk_71	B	0	1
tsk_72	B	0	1
tsk_73	B	0	1
tsk_74	B	0	1
tsk_75	B	0	1
tsk_76	B	0	1
tsk_77	B	0	1
tsk_78	B	0	1
tsk_79	B	0	1
tsk_80	B	0	1
tsk_81	B	0	1
tsk_82	B	0	1
tsk_83	B	0	1
tsk_84	B	0	1
tsk_85	B	0	1
tsk_86	B	0	1
tsk_87	B	0	1
tsk_88	B	0	1
tsk_89	B	0	1
tsk_90	B	0	1
tsk_91	B	0	1
tsk_92	B	0	1
tsk_93	B	0	1
tsk_94	B	0	1
tsk_95	B	0	1
tsk_96	B	0	1
tsk_97	B	0	1
tsk_98	B	0	1
tsk_99	B	0	1
