Population  Latitude    Longitude   Samples
ACB	13.1	-59.61666999999999  20
ASW	35.48167	-97.53333   20
BantuKenya	-3.0	37.0    11
BantuSAfrica	-25.6	24.25   8
Biaka	4.0	17.0    22
GWD	13.466667	-16.6   20
LWK	-1.266667	36.8    20
Mbuti	1.0	29.0    12
MSL	8.48445	-13.23445   20
San	-21.0	20.0    6
Yoruba	7.995094726999999	5.0 21
Mandenka	12.0	-12.0   21
ESN	9.066667	7.483333    20
Somali	5.6	48.3    2
Luo	-0.1	34.3    2
Masai	-1.5	35.2    2
JuHoanNorth	-18.9093142225	21.48811191 4
Dinka	8.794444444333335	27.399999999999995  3
KhomaniSan	-27.0	20.8    2
I10871  5.85866886848752    10.077853582109933 1
I5950   6.498895971599532   37.61208821279908  1
new001  -27.722953463203364 30.031449858990385  1
ela001  -32.317362490703445 18.318878244329397  1
baa001  -29.509995897853592 31.214876185560115  1
