ID	GROUP	SAMPLING_TIME	INCLUDE
tsk_0	focal	0	1
tsk_1	focal	0	1
tsk_2	focal	0	1
tsk_3	focal	0	1
tsk_4	focal	0	1
tsk_5	focal	0	1
tsk_6	focal	0	1
tsk_7	focal	0	1
tsk_8	focal	0	1
tsk_9	focal	0	1
tsk_10	focal	0	1
tsk_11	focal	0	1
tsk_12	focal	0	1
tsk_13	focal	0	1
tsk_14	focal	0	1
tsk_15	focal	0	1
tsk_16	focal	0	1
tsk_17	focal	0	1
tsk_18	focal	0	1
tsk_19	focal	0	1
tsk_20	A	0	1
tsk_21	A	0	1
tsk_22	A	0	1
tsk_23	A	0	1
tsk_24	A	0	1
tsk_25	A	0	1
tsk_26	A	0	1
tsk_27	A	0	1
tsk_28	A	0	1
tsk_29	A	0	1
tsk_30	A	0	1
tsk_31	A	0	1
tsk_32	A	0	1
tsk_33	A	0	1
tsk_34	A	0	1
tsk_35	A	0	1
tsk_36	A	0	1
tsk_37	A	0	1
tsk_38	A	0	1
tsk_39	A	0	1
tsk_40	B	0	1
tsk_41	B	0	1
tsk_42	B	0	1
tsk_43	B	0	1
tsk_44	B	0	1
tsk_45	B	0	1
tsk_46	B	0	1
tsk_47	B	0	1
tsk_48	B	0	1
tsk_49	B	0	1
tsk_50	B	0	1
tsk_51	B	0	1
tsk_52	B	0	1
tsk_53	B	0	1
tsk_54	B	0	1
tsk_55	B	0	1
tsk_56	B	0	1
tsk_57	B	0	1
tsk_58	B	0	1
tsk_59	B	0	1
tsk_60	C	0	1
tsk_61	C	0	1
tsk_62	C	0	1
tsk_63	C	0	1
tsk_64	C	0	1
tsk_65	C	0	1
tsk_66	C	0	1
tsk_67	C	0	1
tsk_68	C	0	1
tsk_69	C	0	1
tsk_70	C	0	1
tsk_71	C	0	1
tsk_72	C	0	1
tsk_73	C	0	1
tsk_74	C	0	1
tsk_75	C	0	1
tsk_76	C	0	1
tsk_77	C	0	1
tsk_78	C	0	1
tsk_79	C	0	1
tsk_80	D	0	1
tsk_81	D	0	1
tsk_82	D	0	1
tsk_83	D	0	1
tsk_84	D	0	1
tsk_85	D	0	1
tsk_86	D	0	1
tsk_87	D	0	1
tsk_88	D	0	1
tsk_89	D	0	1
tsk_90	D	0	1
tsk_91	D	0	1
tsk_92	D	0	1
tsk_93	D	0	1
tsk_94	D	0	1
tsk_95	D	0	1
tsk_96	D	0	1
tsk_97	D	0	1
tsk_98	D	0	1
tsk_99	D	0	1
