chr	start	end	description
1	116796047	147241659	centromere
2	85991677	99673021	centromere
3	85804701	101415026	centromere
4	44705153	59870510	centromere
5	42077201	54596624	centromere
6	53286688	66058390	centromere
7	55414371	68714499	centromere
8	39243545	51325080	centromere
9	39952797	81694041	centromere
10	34633793	46664589	centromere
11	46061947	59413484	centromere
12	29620498	42202490	centromere
13	0	22498291	centromere
14	0	17708240	centromere
15	0	22694129	centromere
16	30848286	57219471	centromere
17	18892419	32486939	centromere
18	10965698	25933550	centromere
19	19655575	34768171	centromere
20	21383660	37969538	centromere
21	0	16341849	centromere
22	0	20711065	centromere
X	52820106	65927025	centromere
Y	21838	62453637	centromere
1	0	3000	telomere
1	248384000	248387328	telomere
2	0	3600	telomere
2	242693800	242696752	telomere
3	0	2800	telomere
3	200904400	200905400	telomere
3	201101200	201105948	telomere
4	0	3400	telomere
4	193572600	193574945	telomere
5	0	2400	telomere
5	182043800	182045439	telomere
6	0	3000	telomere
6	172123600	172126628	telomere
7	0	3600	telomere
7	160565200	160567428	telomere
8	0	2400	telomere
8	146257200	146259331	telomere
9	0	3800	telomere
9	150614400	150617247	telomere
10	0	2800	telomere
10	134754800	134758134	telomere
11	0	2200	telomere
11	201200	202800	telomere
11	135125000	135127769	telomere
12	0	3200	telomere
12	133322000	133324548	telomere
13	0	3000	telomere
13	113563000	113566686	telomere
14	0	2400	telomere
14	101159600	101161492	telomere
15	0	3600	telomere
15	99750200	99753195	telomere
16	0	2600	telomere
16	96327400	96330374	telomere
17	0	2200	telomere
17	84273800	84276897	telomere
18	0	2400	telomere
18	80539000	80542538	telomere
19	0	2400	telomere
19	61704200	61707364	telomere
20	0	2800	telomere
20	66207000	66210255	telomere
21	0	3000	telomere
21	45086000	45090682	telomere
22	0	4600	telomere
22	51321800	51324926	telomere
X	0	2000	telomere
X	154256800	154259566	telomere
Y	0	5800	telomere
Y	62453800	62460029	telomere
6	28400000	33500000	HLA
