chr	start	end	description
6	28510120	33480577	HLA region
1	122026459	122224535	centromere
1	122224635	122503147	centromere
1	122503247	124785432	centromere
1	124785532	124849129	centromere
1	124849229	124932724	centromere
10	39686682	39935900	centromere
10	39936000	41497440	centromere
10	41497540	41545720	centromere
10	41545820	41593521	centromere
11	51078348	51090317	centromere
11	51090417	54342399	centromere
11	54342499	54425074	centromere
12	34769407	34816611	centromere
12	34835295	37185252	centromere
13	16000000	16022537	centromere
13	16022637	16110659	centromere
13	16110759	16164892	centromere
13	16164992	16228527	centromere
13	16228627	16249297	centromere
13	16249397	16256067	centromere
13	16256167	16259412	centromere
13	16259512	16282073	centromere
13	16282173	17416384	centromere
13	17416484	17416824	centromere
13	17416924	17417264	centromere
13	17417364	17418562	centromere
13	17418662	18051248	centromere
14	16000000	16022537	centromere
14	16140627	16228649	centromere
14	16228749	16282882	centromere
14	16282982	16346517	centromere
14	16346617	16367287	centromere
14	16367387	16374057	centromere
14	16374157	16377402	centromere
14	16377502	16400063	centromere
14	16404448	17538659	centromere
14	17538759	17539099	centromere
14	17539199	17539539	centromere
14	17539639	17540837	centromere
14	17540937	18173523	centromere
15	17083673	17498951	centromere
15	17499051	18355008	centromere
15	18355108	19725254	centromere
16	36311158	36334460	centromere
16	36337666	38265669	centromere
17	22813679	23194918	centromere
17	23195018	26566633	centromere
17	26566733	26616164	centromere
18	15460899	15780377	centromere
18	15797855	20561439	centromere
18	20603247	20696289	centromere
18	20696389	20736025	centromere
18	20736125	20813083	centromere
18	20839797	20861206	centromere
19	24498980	24552652	centromere
19	24552752	24891256	centromere
19	24908689	27190874	centromere
2	92188145	94090557	centromere
20	26436232	26586955	centromere
20	26608145	28494539	centromere
20	28508997	28556953	centromere
20	28648108	28728874	centromere
20	29125793	29204668	centromere
20	29917404	30038348	centromere
21	10864560	10887097	centromere
21	10887197	10975219	centromere
21	10975319	11029452	centromere
21	11029552	11093087	centromere
21	11093187	11113857	centromere
21	11113957	11120627	centromere
21	11120727	11123972	centromere
21	11124072	11146633	centromere
21	11146733	12280944	centromere
21	12281044	12281384	centromere
21	12281484	12281824	centromere
21	12281924	12283122	centromere
21	12283222	12915808	centromere
22	12954788	12977325	centromere
22	13021422	13109444	centromere
22	13109544	13163677	centromere
22	13163777	13227312	centromere
22	13227412	13248082	centromere
22	13248182	13254852	centromere
22	13254952	13258197	centromere
22	13258297	13280858	centromere
22	13285243	14419454	centromere
22	14419554	14419894	centromere
22	14419994	14420334	centromere
22	14420434	14421632	centromere
22	14421732	15054318	centromere
3	90772458	91233586	centromere
3	91233686	91247622	centromere
3	91553419	93655574	centromere
4	49712061	51743951	centromere
5	46485900	46569062	centromere
5	46569162	46796725	centromere
5	46796825	47061288	centromere
5	47106994	47153339	centromere
5	47153439	47296069	centromere
5	47309184	49591369	centromere
5	49667531	49721203	centromere
5	49721303	50059807	centromere
6	58553888	59829934	centromere
7	58169653	60828234	centromere
7	61377788	61528020	centromere
8	44033744	45877265	centromere
9	43389635	45518558	centromere
X	58605579	62412542	centromere
Y	10316944	10544039	centromere
1	0	10000	telomere
1	248946422	248956422	telomere
10	0	10000	telomere
10	133787422	133797422	telomere
11	0	10000	telomere
11	135076622	135086622	telomere
12	0	10000	telomere
12	133265309	133275309	telomere
13	0	10000	telomere
13	114354328	114364328	telomere
14	0	10000	telomere
14	107033718	107043718	telomere
15	0	10000	telomere
15	101981189	101991189	telomere
16	0	10000	telomere
16	90328345	90338345	telomere
17	0	10000	telomere
17	83247441	83257441	telomere
18	0	10000	telomere
18	80363285	80373285	telomere
19	0	10000	telomere
19	58607616	58617616	telomere
2	0	10000	telomere
2	242183529	242193529	telomere
20	0	10000	telomere
20	64434167	64444167	telomere
21	0	10000	telomere
21	46699983	46709983	telomere
22	0	10000	telomere
22	50808468	50818468	telomere
3	0	10000	telomere
3	198285559	198295559	telomere
4	0	10000	telomere
4	190204555	190214555	telomere
5	0	10000	telomere
5	181528259	181538259	telomere
6	0	10000	telomere
6	170795979	170805979	telomere
7	0	10000	telomere
7	159335973	159345973	telomere
8	0	10000	telomere
8	145128636	145138636	telomere
9	0	10000	telomere
9	138384717	138394717	telomere
X	0	10000	telomere
X	156030895	156040895	telomere
Y	0	10000	telomere
Y	57217415	57227415	telomere
